證券代碼,年月,每股盈餘,ROE(A)－稅後,ROA(A)稅後息前,負債比率,營業毛利率,營業利益率,稅前淨利率,稅後淨利率
1514 亞力,201609,0.54,3.83,2.21,45.74,12.19,2.46,3.76,3.45
1515 力山,201609,0.53,4.11,2.31,57.73,24.54,4.05,4.31,3.57
1516 川飛,201609,0.71,6.3,5.5,2.72,4.09,1.6,4.97,4.97
1517 利奇,201609,0.16,0.96,0.68,28.18,13.08,-0.33,2.19,1.63
1519 華城,201609,0.95,7.65,3.52,54.23,17.86,6.31,6.77,5.63
1521 大億,201609,4.58,19.86,9.8,50.26,17.52,7.71,9.9,8.6
1522 堤維西,201609,2.41,12.32,4.64,66.42,24.92,7.52,8.83,6.77
1524 耿鼎,201609,0.77,7.09,3.61,56.33,23.01,12.46,8.83,7.32
1525 江申,201609,5.3,11.33,9.18,19.39,10.25,2.11,46.93,43.98
1526 日馳,201609,1.07,8.69,4.29,54.15,27.87,14.96,9.16,7.69
1527 鑽全,201609,3.98,15.92,4.13,77.81,32.99,24.32,20.18,17.66
1528 恩德,201609,0.35,2.63,1.65,51.93,32.76,3.33,2.29,2.14
1529 樂事綠能,201609,0,-0.48,0.03,33.26,9.55,-0.74,-0.8,-0.82
1530 亞崴,201609,0.88,3.05,1.62,55.47,21.29,8.02,5.66,3.29
1531 高林股,201609,0.36,1.7,1.39,23.32,21.29,6.06,4.16,3.49
1532 勤美,201609,1.8,6.47,3.53,49.89,27.28,13.3,13.51,10.9
1533 車王電,201609,0.6,2.64,1.7,45.85,36.81,9.48,6.81,3.35
1535 中宇,201609,1.6,5.89,2.79,57.83,10.07,4.65,4.7,3.15
1536 和大,201609,3.36,20.3,8.79,59.85,37.63,24.97,23.1,18.5
1537 廣隆,201609,8.01,19.75,13.93,33.19,24.82,17.98,17.41,12.93
1538 正峰,201609,-0.45,-5.3,-1.62,58.15,17.16,-12.94,-7.37,-7.37
1539 巨庭,201609,1.77,11.48,4.21,69.78,15.31,11.15,7.05,5.21
1540 喬福,201609,0.25,1.46,1.25,13.96,28.84,16.84,7.9,4.73
1541 錩泰,201609,2.93,19.63,9.69,54.74,21.78,12.64,10.73,8.73
1558 伸興,201609,9.96,13.95,10.05,30.63,27.84,18.52,17.39,13.02
1560 中砂,201609,2.51,9.53,6.9,29.68,28.19,14.37,14.3,11.87
1568 倉佑,201609,1.09,7.95,4.29,53.62,17.89,9.6,8.5,6.22
1582 信錦,201609,4.38,12.19,7.26,42.41,23.27,12.78,14.13,9.48
1583 程泰,201609,1.21,3.49,1.81,54.56,26.26,9.78,6.98,4.02
1587 吉茂,201609,0.92,4.21,2.38,54.24,22.96,4.84,4.67,4.28
1589 永冠-KY,201609,6.62,7.56,5.43,32.2,33.3,16.73,18.43,13.85
1590 亞德客-KY,201609,8.87,16.16,8.13,52.6,51,25.71,30.07,21.28
1597 直得,201609,1.08,4.75,3.16,40.41,35.89,13.57,10.34,8.71
1598 岱宇,201609,1.5,6.87,2.89,61.03,29.54,8.32,5.69,3.86
1603 華電,201609,1.46,6.57,3.98,44.35,13.08,7.92,17.59,14.74
1604 聲寶,201609,1.53,10.04,6.41,35.5,27.18,4.29,10,9.35
1605 華新,201609,0.97,5.58,3.44,43.28,7.1,4.06,4.42,3.4
1608 華榮,201609,0.15,-0.35,-0.11,32.32,2.14,-0.34,0.37,-0.53
1609 大亞,201609,0.03,0.54,0.83,57.65,6.53,0.85,0.76,0.38
1611 中電,201609,-0.19,-1.52,-0.88,30.94,22.63,0.1,-3.82,-3.95
1612 宏泰,201609,0.22,1.55,1.34,14.84,6.54,1.07,3.26,2.91
1614 三洋電,201609,1.14,5.75,4.49,22.68,20.19,7.8,7.94,6.72
1615 大山,201609,0.47,3.55,2.5,35.09,9.89,3.77,3.79,3.06
1616 億泰,201609,0.25,2.65,1.6,48.79,7.57,1.59,2.55,2.12
1617 榮星,201609,0.23,2.03,1.37,49.31,13.2,4.23,2.58,1.68
1618 合機,201609,0.17,1.05,0.98,6.56,6.72,2.04,3.32,2.87
1626 艾美特-KY,201609,1.67,7.32,3.18,62.8,20.7,3.8,2.84,2.3
1702 南僑,201609,3.77,16.83,5.5,69.41,37.11,13.04,12.21,7.88
1707 葡萄王,201609,6.96,28.82,15.57,42.78,87.09,24.02,24.8,20.02
1708 東鹼,201609,1.56,6.33,3.91,44.32,28.8,15.01,13.93,10.64
1709 和益,201609,1.5,9.8,6.67,34.4,22.37,13.42,12.85,10.58
1710 東聯,201609,-0.72,-5.3,-2.02,55.96,1.27,-3.16,-8.13,-7.07
1711 永光,201609,0.79,5.45,3.51,40.84,23.72,6.69,7.43,6.17
1712 興農,201609,1.13,7.32,3.03,64.51,27.41,4.1,4.12,3.23
1713 國化,201609,0.46,3.07,2.85,7.31,20.99,11.69,17.73,15.62
1714 和桐,201609,0.26,3.01,1.99,49.72,9.42,2.64,2.85,2.07
1717 長興,201609,1.97,9.86,4.8,57.41,23.67,9.55,9.5,7.64
1718 中纖,201609,-0.3,3.2,0.29,91.97,29.48,8.02,8.39,6.72
1720 生達,201609,1.46,7.12,4.82,32.55,43.42,11.64,13.45,10.43
1721 三晃,201609,0.67,8.88,5.03,42.75,18.11,8.74,7.81,7.32
1722 台肥,201609,0.55,1.05,0.69,34.38,15.49,5.61,6.3,5.84
1723 中碳,201609,3.16,11.33,8.48,30.82,27.35,21.03,22.34,18.94
1725 元禎,201609,0.86,6.26,3.49,48.44,5.22,2.56,2.85,2.44
1726 永記,201609,4.85,9.87,8.3,15.59,29.71,16.53,17.31,14.13
1727 中華化,201609,0.58,4.52,3.04,37.23,14.89,5.3,5.37,4.28
1730 花仙子,201609,2.28,12.81,8.48,32.58,46.94,10.53,12.81,10.08
1731 美吾華,201609,0.47,3.65,2.53,32.67,43.41,8.08,6.95,5.89
1732 毛寶,201609,-0.29,-2.84,-2.12,25.31,40.95,-2.49,-3.09,-3.03
1733 五鼎,201609,1.34,7.04,4.98,34.91,27.8,15.27,11.74,9.57
1734 杏輝,201609,-0.15,-2.88,-1.53,40.61,36.7,-8.19,-6.48,-7.24
1735 日勝化,201609,0.6,4.12,2.43,49.74,19.07,6.37,4.49,2.77
1736 喬山,201609,0.49,1.74,0.98,63.33,44.64,-0.2,1.78,1.08
1737 臺鹽,201609,1.42,4.82,4.13,14.33,41.41,15.47,15.9,13.56
1752 南光,201609,1.57,7.78,5.25,33.78,38.51,17.04,16.27,13.14
1760 寶齡富錦,201609,0.38,3.1,2.07,33.61,53.87,6.19,5.82,3.31
1762 中化生,201609,0.41,1.75,1.27,36.45,33.49,7.28,6.52,3.51
1773 勝一,201609,3.8,14.09,11.18,20.8,27.15,14.91,15.32,12.64
1776 展宇,201609,0.97,6.34,3.99,35.43,23.86,6.92,7.52,5.76
1783 和康生,201609,-0.22,-1.95,-1.11,29.19,41.8,-5.42,-6.67,-6.77
1786 科妍,201609,-0.93,-5.24,-3.76,33.62,54.48,8.78,-30.6,-30.58
1789 神隆,201609,0.67,5.13,4.3,19.3,44.98,21.73,19.73,16.9
1795 美時,201609,0.2,1.42,1.89,45.36,57.27,9.76,5.83,2.83
1802 台玻,201609,-0.5,-3.11,-1.04,44.8,12.71,0.45,-4.41,-4.69
1805 寶徠,201609,-1.03,-9.89,-5.39,47.87,-89.92,-552.88,-472.25,-472.24
1806 冠軍,201609,-0.02,-0.1,0.77,40.18,30.94,0.33,1,-0.2
1808 潤隆,201609,2.83,13.21,4.25,73.19,29.33,19.64,21.5,19.76
1809 中釉,201609,0.62,2.03,1.66,24.61,24.12,4.56,5.43,4.43
1810 和成,201609,0.81,5.13,3.01,49.28,24.87,-0.65,8.14,6.88
1817 凱撒衛,201609,2.28,11.11,8.96,20.57,31.27,14.06,14.39,10.35
1903 士紙,201609,-0.53,-4.46,-1.91,53.62,-9.22,-329.71,-271.66,-271.66
1904 正隆,201609,0.94,4.11,2.17,59.92,17.62,4.66,4.43,3.18
1905 華紙,201609,0.21,1.07,0.82,39.12,8.18,1.47,1.27,1.23
1906 寶隆,201609,0.7,3.89,2.74,34.83,11.68,0.45,13.14,12.44
1907 永豐餘,201609,0.07,0.99,0.91,61.59,16.35,2.15,1.68,0.94
1909 榮成,201609,1.17,6.89,3.26,69.72,18.87,8.1,6.22,4.6
2002 中鋼,201609,0.8,4.56,2.54,51.53,13.62,8.74,7.91,6.98
2006 東和鋼鐵,201609,1.2,5.14,3.45,35.91,11.88,6.35,7.08,6.28
2007 燁興,201609,-0.28,-4.99,-0.52,77.51,2.79,-0.32,-3.31,-3.31
2008 高興昌,201609,-0.4,-3,-1.45,40.49,1.49,-9.43,-12.78,-12.78
2009 第一銅,201609,-0.36,-4.53,-2.64,38.95,-3.83,-6.1,-7.3,-7.3
2010 春源,201609,0.82,4.78,3.44,29.16,9.79,4.65,5.44,4.24
2012 春雨,201609,0.49,4.6,2.26,64.9,19.83,7.13,4.1,2.93
2013 中鋼構,201609,0.36,1.61,0.77,70.94,2.18,0.07,0.98,0.55
2014 中鴻,201609,1.05,19.57,5.37,71.55,10.4,6.56,6.27,6.27
2015 豐興,201609,2.54,9.06,7.81,13.17,15.55,11.64,12.05,9.89
2017 官田鋼,201609,0.43,4.71,3.38,36.02,17.36,8.24,7.94,7.02
2020 美亞,201609,1.29,11.33,6.32,47,18.01,11.58,12.59,10.44
2022 聚亨,201609,0,0.77,1.2,55.08,10.21,2.83,1.66,0.82
2023 燁輝,201609,1.05,5.88,2.85,63.18,13.79,7.65,6.45,4.57
2024 志聯,201609,0.61,5.49,3.34,46.03,13.46,7.41,5.95,5.93
2025 千興,201609,0.1,2.54,1.9,52.73,1.02,-0.6,1.14,1.14
2027 大成鋼,201609,0.13,1.57,1.48,66.27,14.42,3.43,1.24,0.65
2028 威致,201609,-0.18,-6.67,-0.23,83.34,1.69,-0.7,-1.27,-1.27
2029 盛餘,201609,2.79,11.02,9.19,13.86,18.68,13.32,12.28,10.06
2030 彰源,201609,0.49,4.25,2.14,68.32,10.39,4.02,2.28,1.71
2031 新光鋼,201609,2.14,13.12,5.9,56.98,14.16,11.5,14.46,13.43
2032 新鋼,201609,0.4,3.16,2.58,17.43,6.6,2.32,2.96,2.55
2033 佳大,201609,0.23,2.05,1.67,28.2,15.32,4.37,4.01,3.18
2034 允強,201609,1.32,7.52,5.34,30.76,9.85,5.5,4.9,4.16
2038 海光,201609,-0.07,-0.34,0.15,43.83,2.45,-0.59,-0.34,-0.3
2049 上銀,201609,3.15,4.29,2.17,57.36,33.54,9.6,7.3,5.39
2059 川湖,201609,9.26,11,9.68,11.23,56.96,45.16,36.37,27.43
2062 橋椿,201609,3.3,10.31,5.28,51.7,24.7,12.63,15.21,11.58
2069 運錩,201609,1.35,6.7,3.86,57.42,9.91,4.45,3.66,3.03
2101 南港,201609,1.11,7.83,4.25,48.78,22.65,10.94,17.01,11.76
2102 泰豐,201609,0.02,0.1,0.14,30.34,20.88,1.96,1.54,0.25
2103 台橡,201609,1.13,5.9,3.85,40.63,15.84,7.77,7.29,5.25
2104 國際中橡,201609,1.85,5.57,4.07,39.11,27.39,17.57,16.27,8.63
2105 正新,201609,3.4,12.53,7.06,47.13,31.73,17.08,16.4,12.36
2106 建大,201609,2.57,10.64,5.8,48.88,27.87,12.04,12.44,10.09
2107 厚生,201609,0.29,1.21,1.05,24.73,31.8,16.96,16.22,12.2
2108 南帝,201609,1.38,9.28,7.71,16.83,23.33,12.07,11.35,9.28
2109 華豐,201609,0.39,4.67,3.17,38.86,27.48,9.03,7.25,5.14
2114 鑫永銓,201609,3.58,11.05,9.1,22.4,38.78,29.65,25.52,20.63
2115 六暉-KY,201609,3.08,11.36,8.13,31.03,25.69,15.35,16.21,11.96
2201 裕隆,201609,1.27,2.58,1.05,63.74,17.07,2.01,3.82,2.52
2204 中華,201609,2.09,5.93,5.06,13.94,19.34,7.44,11.15,9.99
2206 三陽工業,201609,-0.26,-1.14,0.04,58.65,17.08,1.45,0.48,-0.83
2207 和泰車,201609,15,19.6,5.51,71.65,13.58,6.15,8.72,7.24
2208 台船,201609,-1.1,-6.17,-3.33,48.93,-5.32,-8.08,-7.62,-6.4
2227 裕日車,201609,11.12,15.8,11.08,31.1,14.34,3.78,14.77,12.24
2228 劍麟,201609,6.85,15.07,11.66,23.93,32.19,20.4,20.92,15.35
2231 為升,201609,9.67,30.39,18.21,50.56,55.75,41.81,38.05,31.56
2233 宇隆,201609,4.1,9.29,6.94,30.71,35.79,19.55,18.14,12.92
2236 百達-KY,201609,2.31,8.45,6.38,29.38,28.61,12.9,11.3,7.89
2239 英利-KY,201609,12.86,17.39,9.46,46.73,22.68,13.13,16.04,13.37
2243 宏旭-KY,201609,3.85,17,3.44,78.58,18.67,8.6,7.12,7.09
2301 光寶科,201609,2.94,8.65,3.37,63.65,13.56,5.04,5.37,4.09
2302 麗正,201609,0.1,0.95,0.87,16.52,28.73,-6.28,4.96,4.1
2303 聯電,201609,0.47,1.52,1.15,41.59,19.73,3.58,3.45,3.12
2305 全友,201609,-0.13,-1.21,-0.66,38.85,37.33,-14.44,-1.54,-4.15
2308 台達電,201609,5.33,11.2,6.29,46.6,27.93,9.82,11.59,9.02
2312 金寶,201609,0.79,6.65,2.9,68.41,6.1,1.07,2.13,1.57
2313 華通,201609,0.64,3.77,1.89,60.95,12.08,6.83,3.68,2.42
2314 台揚,201609,0.59,5.82,2.38,61.73,16.7,3.03,2.96,2.06
2316 楠梓電,201609,-0.45,-1.42,-0.79,37.43,8.49,-0.36,-4.78,-3.64
2317 鴻海,201609,4.62,7.69,4.1,56.14,6.87,3.32,3.74,2.74
2321 東訊,201609,0.16,11.32,2.86,79.52,12.61,1.27,2.07,1.89
2323 中環,201609,-0.53,-4.54,-2.85,28.33,5.51,-10.39,-11.36,-12.25
2324 仁寶,201609,1.27,5.69,2.04,67.77,4.35,1.58,1.47,1.13
2327 國巨,201609,4.37,10.1,5.2,54.81,23.25,13.44,14.23,11.25
2328 廣宇,201609,1.83,8.99,5.59,37.05,7.8,0.48,8.96,8.05
2329 華泰,201609,0.62,7.9,3.38,62.69,13.41,6.39,5.1,4.19
2330 台積電,201609,9.03,18.68,13.99,25.3,49.26,39.09,39.95,34.14
2331 精英,201609,-2.18,-9.07,-4.79,47.64,14.02,-8.94,-7.9,-5.4
2332 友訊,201609,-1.68,-10.06,-4.78,48.61,25.58,-5.93,-5.66,-6.13
2337 旺宏,201609,-0.27,-5.27,-2.05,50.31,21.16,-5.62,-6.28,-5.47
2338 光罩,201609,-0.45,-4.14,-3.78,8.93,5.55,-12.18,-15.98,-15.55
2340 台亞,201609,1.25,8.78,6.22,28.4,29.55,11.33,18.09,16.06
2342 茂矽,201609,-0.32,-13.7,-4.37,63.56,15.45,2.06,-11.88,-11.51
2344 華邦電,201609,0.58,5.41,3.74,32.8,28.67,8.87,8.83,7.25
2345 智邦,201609,2.53,16.48,9.01,45.24,20.53,8.1,8.28,6.48
2347 聯強,201609,2.13,8.59,3.19,65.8,3.42,1.16,1.62,1.47
2348 海悅,201609,0.13,0.94,0.81,38.42,39.11,9.78,6.47,3.64
2349 錸德,201609,-0.74,-6.66,-3.94,34.75,5.76,-11.11,-14.66,-16.13
2351 順德,201609,2.88,11.25,6.15,46.81,20.86,12.21,11.06,8.83
2352 佳世達,201609,1.39,7.65,2.87,66.49,12.61,3.5,3.03,2.51
2353 宏碁,201609,0.28,1.3,0.59,59.98,10.32,0.62,0.71,0.49
2354 鴻準,201609,5.92,8.91,6.39,30.68,20.49,17.29,18.04,14.18
2355 敬鵬,201609,4.6,11.42,7.45,35.58,18.12,12.85,13.8,10.02
2356 英業達,201609,1.08,5.48,2.1,65.83,5.56,1.85,1.53,1.06
2357 華碩,201609,19.21,8.35,4.35,46.97,14.05,4.02,5.47,4.28
2358 廷鑫,201609,-2.01,-22.39,-14.03,40.39,-6.03,-9.85,-9,-8.2
2359 所羅門,201609,0.51,2.07,1.72,16.18,21.16,6.25,6.01,3.36
2360 致茂,201609,3.54,13.25,7.84,43.11,46.53,18.38,18.09,14.81
2362 藍天,201609,0.55,0.77,0.86,62,31.33,11.06,5.26,2.55
2363 矽統,201609,-0.06,-0.46,-0.45,0.67,52.48,-181.09,-24.95,-25.05
2364 倫飛,201609,-1.53,-28.64,-10.11,65.33,20.55,-16.9,-20.65,-20.84
2365 昆盈,201609,-0.33,-2.46,-1.59,31.75,20.38,-3.22,-3.02,-3.73
2367 燿華,201609,-1.79,-11.21,-4.94,57.42,4.61,-8.11,-11.32,-11.4
2368 金像電,201609,0.03,0.25,0.81,67.43,13.14,3.11,0.3,0.12
2369 菱生,201609,0.52,3.03,2.12,34.12,11.27,1.59,3.37,4.56
2371 大同,201609,-0.85,-4.73,-0.25,62.92,10.35,-5.77,-3.32,-5.08
2373 震旦行,201609,2.98,12.62,6.97,47.45,41.09,6.81,11.01,9.37
2374 佳能,201609,0.9,3.37,2.21,32.67,13.83,0.17,4.15,3.62
2375 凱美,201609,-0.94,-7,-4.41,33.39,14.32,-1.17,-7.41,-8.65
2376 技嘉,201609,2.83,7.92,5.45,36.07,18.04,3.86,5.86,4.46
2377 微星,201609,4.38,14.31,7.72,47.33,14.58,5.62,5.89,4.89
2379 瑞昱,201609,4.67,10.76,4.93,58.9,43.43,9.9,8.81,8.1
2380 虹光,201609,-1.11,-7.55,-5.93,22.6,32.11,-11.03,-11.67,-13.78
2382 廣達,201609,2.87,8.17,2.27,76.66,5.26,2.17,2.27,1.79
2383 台光電,201609,6.21,20.24,11.09,46.05,26.04,17.72,17.43,12.22
2385 群光,201609,3.18,9.44,4.19,57.4,16.82,6.39,5,4.43
2387 精元,201609,1.48,4.62,2.77,39.56,14.35,5.56,6.4,3.88
2388 威盛,201609,0.35,4.1,1.89,59.28,28.56,-27.79,4.35,4.55
2390 云辰,201609,-0.24,-1.98,-1.39,20.14,16.5,-21.81,-7.43,-7.99
2392 正崴,201609,0.52,0.83,0.62,62.98,9.74,-0.72,0.76,0.37
2393 億光,201609,3.08,7.71,3.89,53.38,24.98,8.09,7.86,6.32
2395 研華,201609,6.77,18.09,12.5,30.98,40.93,15.82,17.13,13.75
2397 友通,201609,3.52,13.12,10.54,20.71,33.85,18.17,17.25,13.79
2399 映泰,201609,-0.23,-1.75,-1.3,26.63,11.93,-0.64,-1.69,-1.79
2401 凌陽,201609,0.11,1.68,1.39,26.05,42.37,2.87,4.47,3.19
2402 毅嘉,201609,-0.27,-1.25,-0.52,37.97,5.4,-2.2,-2.09,-1.87
2404 漢唐,201609,4.79,18.52,7.76,58.83,15.15,11,12.19,10.05
2405 輔信,201609,-0.07,-0.72,-0.51,27.84,18.42,-1.09,-0.55,-0.8
2406 國碩,201609,0.5,8.93,4.59,59.81,14.46,9.18,9.95,6.22
2408 南亞科,201609,1.33,6.24,3.71,46.96,30.83,20.26,14.56,12.36
2409 友達,201609,-0.12,-0.89,-0.07,54.17,7.28,0.33,-0.04,-0.75
2412 中華電,201609,4.16,8.99,7.51,15.46,36.57,22.22,23.1,19.33
2413 環科,201609,0.44,2.78,1.64,53.99,16.71,2.02,3.01,1.8
2414 精技,201609,1.18,6.71,3.34,52.73,9.7,2.02,2.06,1.69
2415 錩新,201609,1.7,8.58,4.12,55.11,32.18,15.04,13.89,8.81
2417 圓剛,201609,-0.47,-0.88,-0.76,14.59,49.96,-1.06,-0.38,-1.98
2419 仲琦,201609,1.14,8.24,4.11,54.4,25.48,7.83,6.29,4.88
2420 新巨,201609,2.39,12.88,6.23,57.31,39.32,20.61,18.94,15.67
2421 建準,201609,1.47,9.42,5.06,47.42,22.37,5.81,6.57,4.88
2423 固緯,201609,1.28,8.82,6.31,27.8,50.45,9.76,14.15,12.1
2424 隴華,201609,-1.27,-7.92,-7.84,0.76,-84.28,-860.19,-1704.66,-1664.37
2425 承啟,201609,0.36,2.22,1.69,23.14,3.59,1.7,1.06,0.79
2426 鼎元,201609,0.35,2.25,1.77,31.19,22.91,11.57,4.16,3.38
2427 三商電,201609,0.21,1.87,1.24,44.09,32.77,0.49,2.91,2.59
2428 興勤,201609,5.15,13.65,9.79,30.31,30.7,18.74,22.15,16.55
2429 銘旺科,201609,0.47,6.06,3.05,67.73,10.72,1.8,2.91,2.91
2430 燦坤,201609,2.41,8.4,3.98,52.34,15.69,3.45,2.91,2.27
2431 聯昌,201609,0.5,3.4,2.07,39.2,13.06,1.48,2.62,2.44
2433 互盛電,201609,2.49,9.25,5.23,46.26,33.53,11.08,16.42,14.46
2434 統懋,201609,-1.26,-18.05,-12.26,32.8,-22.47,-71.98,-85.43,-85.28
2436 偉詮電,201609,0.52,4.04,3.29,21.78,24.86,4.21,8.02,7.54
2438 翔耀,201609,-0.07,3.11,2.47,24.34,31.15,12.94,12.07,7.53
2439 美律,201609,6.97,21.09,10.77,50.26,20.42,8.66,14,11.69
2440 太空梭,201609,-0.03,-0.39,0.28,49.59,9.05,1.65,0.1,-0.27
2441 超豐,201609,2.89,11.83,10.23,14.03,28.44,24.19,24.08,21.31
2442 新美齊,201609,-0.05,-0.44,-0.09,57.62,18.87,-2.31,-0.18,-0.73
2443 昶虹,201609,-1.19,-9.35,-8.23,12.34,-11.65,-45.68,-42.63,-42.66
2444 兆勁,201609,0.7,6.42,3.97,43.22,18.78,6.15,5.07,5.07
2449 京元電子,201609,2,10.23,5.76,47.63,29.91,18.84,18.93,15.67
2450 神腦,201609,3,12.93,7.11,46.33,13.47,2.54,3.43,2.91
2451 創見,201609,4.32,9.34,8.19,9.67,21.57,14.01,12.5,11.35
2453 凌群,201609,0.3,1.8,1.13,39.51,25.08,0.83,1.32,1.25
2454 聯發科,201609,11.93,7.92,5.35,37.5,36.01,9.23,10.46,9.13
2455 全新,201609,1.74,12.9,10.39,27.34,38.07,28.64,27.51,23.14
2457 飛宏,201609,-1.6,-8.44,-3.78,55.26,10.89,-5.28,-5.44,-5.54
2458 義隆,201609,1.18,6.35,4.59,32.06,40.93,11.89,11.07,8.93
2459 敦吉,201609,2.86,7.11,4.26,43.59,9.37,3.97,4.51,3.61
2460 建通,201609,0.12,0.68,0.77,54.16,13.22,2.18,2.05,0.76
2461 光群雷,201609,0.9,4.18,2.53,49.69,25.08,8.87,5.67,3.86
2462 良得電,201609,0.48,2.41,1.41,43.32,12.33,3.77,2.91,1.89
2464 盟立,201609,1.7,9.29,3.97,61.09,17.32,6.77,5.74,5.02
2465 麗臺,201609,-1.09,-19.54,-7,66.25,13.67,-4.52,-5.98,-5.98
2466 冠西電,201609,-0.23,-1.86,-0.27,51.08,12.66,-1.21,-1.57,-2.33
2467 志聖,201609,1.04,7.21,2.89,65.28,30.93,6,5.33,5.32
2468 華經,201609,0.42,2.65,2,24.25,14.43,3.38,3.67,2.93
2471 資通,201609,0.58,3.81,2.52,32.31,32.79,1.44,6.2,5.46
2472 立隆電,201609,2.36,7.74,4.73,42.92,24.96,12.29,10.76,8.22
2474 可成,201609,16.21,10.92,7.33,35.16,40.61,32.06,34.1,22.72
2476 鉅祥,201609,1.73,7.57,5.59,28.76,29.74,13.98,14.72,10.42
2477 美隆電,201609,0.95,6.34,4.11,36.52,22.69,8.93,12.08,9.05
2478 大毅,201609,0.68,3.47,2.41,38.31,20.06,8.34,8.45,5.95
2480 敦陽科,201609,1.75,8.53,5.28,42.28,26.77,8.24,9.12,7.81
2481 強茂,201609,1.26,7.16,3.46,60.09,20.55,6.35,7.84,5.96
2482 連宇,201609,0.2,1.45,1.18,25.49,45.24,2.5,2.26,1.79
2483 百容,201609,1.03,4.82,4.06,18.44,29.76,11.39,12.31,9.47
2484 希華,201609,0.84,4.86,3.55,28.25,21.25,9.53,8.2,6.37
2485 兆赫,201609,1.23,5.17,3.96,19.43,13.22,6.95,4.73,3.51
2486 一詮,201609,-0.34,-2.03,-0.57,52.28,10.13,-0.75,-2.71,-1.98
2488 漢平,201609,3.97,17.19,10.3,45.9,27.21,16.53,16.36,13.09
2489 瑞軒,201609,2.01,11.29,6.86,44.95,10.86,-1.14,12.1,9.69
2491 吉祥全,201609,-0.46,-7.56,-1.64,69.23,18.61,-21.26,-20.68,-20.68
2492 華新科,201609,2.84,10.83,6.37,44.82,23.6,12.53,14.04,12.23
2493 揚博,201609,2.28,11.99,8.71,26.72,32.09,17.46,17.82,14.79
2495 普安,201609,0.51,3.39,3.01,13.66,46.78,7.88,13.35,10.85
2496 卓越,201609,-0.92,-2.24,-1.76,13.55,24.13,-7,-6.06,-6.06
2497 怡利電,201609,0.05,0.29,0.38,41.52,22.48,1.89,1.89,0.27
2498 宏達電,201609,-9.05,-12.47,-6.19,50.78,12.71,-19.75,-12.94,-13.35
2501 國建,201609,1.22,7.45,3.19,62.14,26.35,19.6,19.57,15.66
2504 國產,201609,-0.51,-7.53,-2.94,56.8,-3.88,-12.21,-10.8,-9.93
2505 國揚,201609,-0.2,-1.64,-0.64,55.78,19.84,-22.4,-19.2,-19.17
2506 太設,201609,0.65,3.76,2.48,50.47,63.91,18.6,24.99,18.6
2509 全坤建,201609,-0.28,-1,0.01,53.92,42.02,11.24,2.18,-9.52
2511 太子,201609,0.31,1.99,1.21,54.04,35.69,7.76,8.83,7.39
2514 龍邦,201609,0.77,5.01,3.55,35.9,91.72,70.93,63.39,61.9
2515 中工,201609,0.13,0.99,0.62,48.08,11.28,3.43,3.62,2.53
2516 新建,201609,0.71,-0.87,0.1,69.95,1.86,-1.74,-1.45,4.2
2520 冠德,201609,1.34,5.6,2.11,68.45,26.39,14.17,9.51,7.88
2524 京城,201609,0.6,2.12,1.02,65.49,41.82,24.98,18.23,15.32
2527 宏璟,201609,0.39,1.16,0.56,57.63,21.75,-0.65,20.16,13.82
2528 皇普,201609,-0.1,-0.91,-0.39,27.65,18.6,-12.92,-13.05,-13.05
2530 華建,201609,1.77,12.29,7.48,30.65,31.24,23.5,21.94,20.05
2534 宏盛,201609,0.49,3.25,1.45,69.18,49.49,33.98,26.06,18.27
2535 達欣工,201609,1.74,7.57,2.66,69.05,7.55,4.8,4.87,3.76
2536 宏普,201609,4.07,11.63,7.25,31.45,29.57,28.02,31.15,29.74
2537 聯上發,201609,1.42,9.89,6.3,34.25,39.65,32.61,35.32,32.02
2538 基泰,201609,-0.18,-0.89,-0.17,55.64,42.15,25.26,-0.64,-12.8
2539 櫻花建,201609,0.31,2.3,1.21,52.24,37.3,17.64,23.78,18.97
2540 愛山林,201609,1.38,5.2,2.79,60.35,66.26,45.72,35.42,26.54
2542 興富發,201609,4.73,15.58,5.62,65.49,33.21,23.49,23.68,22.06
2543 皇昌,201609,0.4,3.42,1.81,52.17,2.9,0.4,3.06,2.73
2545 皇翔,201609,7.17,21.52,6.23,67.82,26.36,22.26,21.01,18.05
2546 根基,201609,1.77,8.81,3.65,59.25,5.38,3.29,3.6,2.97
2547 日勝生,201609,-4.97,-36.33,-5.52,86.44,52.19,-193.38,-188.1,-191.24
2548 華固,201609,3.79,7.51,2.96,61.83,29.74,21.42,21.97,17.24
2597 潤弘,201609,2.66,8.14,4.17,49.67,15.15,7.37,8.34,7.16
2601 益航,201609,-2.63,-8.31,-1.8,71.4,70.96,4.98,-12.65,-17.63
2603 長榮,201609,-1.58,-13.1,-3.54,71.71,-4.69,-7.84,-8.57,-8.26
2605 新興,201609,0.86,2.66,2.19,27.7,27.6,24.71,24.31,27.59
2606 裕民,201609,-1.33,-4.44,-1.21,65.6,-8.36,-12.65,-23.73,-24.04
2607 榮運,201609,0.57,2.83,2.08,36.39,17.18,14.02,13.83,10.92
2608 嘉里大榮,201609,2.1,12.22,8.07,34.83,20.29,16.19,17.92,14.65
2609 陽明,201609,-3.76,-52.36,-7.98,87.14,-10.22,-15.36,-16.06,-15.47
2610 華航,201609,0.33,3.32,1.28,72.41,13.81,4.19,2.73,1.9
