證券代碼,年月,每股盈餘,ROE(A)－稅後,ROA(A)稅後息前,負債比率,營業毛利率,營業利益率,稅前淨利率,稅後淨利率
1444 力麗,201303,0.2,1.68,1.32,23.21,5.87,1.93,6.99,7.1
1445 大宇,201303,0.13,0.92,0.76,18.16,7.65,0.85,4.09,3.84
1446 宏和,201303,0.09,0.62,0.45,28.08,25.1,6.33,7.75,6.03
1447 力鵬,201303,0.49,3.69,2.11,48.12,7.28,4.87,6.09,5.1
1449 佳和,201303,-0.29,-10.24,-1.14,90.83,2.64,-10.46,-7.35,-7.35
1451 年興,201303,0.35,1.47,1.13,25.6,10.6,4.33,5.72,4.7
1452 宏益,201303,0.22,1.46,1.31,10.12,9.07,5.5,6.47,5.39
1453 大將,201303,-0.03,-0.21,-0.19,10.24,12.65,-3.86,-1.88,-4.63
1454 台富,201303,0.02,0.13,0.12,21.26,5.81,-0.23,0.5,0.42
1455 集盛,201303,0.27,2.23,1.21,50.3,6.62,4.08,4.8,4.03
1456 怡華,201303,-0.06,-1.41,0.01,74.58,10.19,2.99,-7.36,-5.14
1457 宜進,201303,0,0.07,0.26,53.33,6.34,2.96,0.26,0.26
1459 聯發,201303,-0.03,-0.29,-0.02,47.08,3.61,-0.67,-0.95,-1.24
1460 宏遠,201303,0.17,1.76,0.99,49.58,13.89,0.95,4.32,4.32
1463 強盛新,201303,0.01,-0.03,0,32.33,9.07,-6.41,-0.34,-0.34
1464 得力,201303,0,0.02,0.12,47.14,12.18,-0.69,0.49,0.05
1465 偉全,201303,0.13,0.59,0.51,25.39,10.97,1.5,2.86,2.42
1466 聚隆,201303,0.21,1.29,0.86,48.62,8.06,1.54,1.9,1.57
1467 南緯,201303,0.32,1.63,0.79,60.1,19.01,2.46,3.69,2.51
1468 昶和,201303,-0.11,-1.68,-0.66,47.76,2.7,-16.27,-10.96,-10.96
1470 大統新創,201303,0.08,0.82,0.73,9.76,15.03,4.34,5.35,4.44
1471 首利,201303,-0.08,-0.64,-0.37,41.97,3.23,-3.51,-1,-1.1
1472 三洋實業,201303,-0.5,-9.71,-2.6,71.13,-3.04,-17.79,-17.67,-17.67
1473 台南,201303,1.04,1.77,1.16,40.31,27.7,4.05,5.1,3.12
1474 弘裕,201303,0.05,0.4,0.29,49.19,5.98,0.1,1.14,0.73
1475 業旺,201303,-0.32,-15.05,-2.42,81.57,-21.9,-49.71,-47.02,-46.96
1476 儒鴻,201303,2.41,8.59,5.69,33.76,28.33,17.75,19.24,16.1
1477 聚陽,201303,2.33,7.84,4.89,36.36,20.83,9.99,10.49,8.99
1503 士電,201303,0.53,1.45,0.96,35.22,21.46,7.86,8.65,6.7
1504 東元,201303,0.45,2.13,1.26,43.29,23.87,8.68,9.24,6.53
1506 正道,201303,-0.17,-1.62,-0.81,41.28,7.07,-7.28,-6.81,-6.81
1512 瑞利,201303,-0.14,-1.17,-0.14,63.19,13.93,-1.97,-1.95,-3.04
1513 中興電,201303,0.23,1.43,0.8,45.2,16.76,3.76,5.67,4.96
1514 亞力,201303,0.15,1.1,0.64,44.3,11.7,2.53,3.22,2.96
1515 力山,201303,0.06,0.55,0.41,58.17,20.4,0.91,1.99,1.64
1516 川飛,201303,0.06,0.76,0.69,7.43,10.75,3.24,3.25,3.25
1517 利奇,201303,0.26,1.79,1.16,34.42,14.85,5.62,9.36,6.86
1519 華城,201303,0.05,0.43,0.3,47.58,14.89,-0.54,1.76,1.39
1521 大億,201303,0.71,3.39,1.9,43.61,13.74,3.59,6.83,5.67
1522 堤維西,201303,0.27,2.26,0.9,68.83,17.34,2.45,3.94,3.3
1524 耿鼎,201303,0.02,0.2,0.3,63.24,10.97,-0.68,0.63,0.64
1525 江申,201303,0.71,1.92,1.49,21.28,6.43,-2.4,22.62,20.16
1526 日馳,201303,0.19,2.08,1.09,54.58,20.19,6.07,5.53,5.55
1527 鑽全,201303,1.29,8.1,1.91,77.92,21.61,7.43,43.89,36.43
1528 恩德,201303,0.15,1.04,0.63,51.39,23.05,0.31,4.36,3.15
1529 樂事綠能,201303,-0.03,-1.28,-0.8,25.94,14.41,-37.19,-38.21,-38.21
1530 亞崴,201303,0.78,3.06,1.67,48.2,21.25,6.63,12.85,10.9
1531 高林股,201303,0.49,2.08,1.63,21.87,22.07,9.24,19.17,11.47
1532 勤美,201303,0.49,2.05,1.1,53.96,21.63,9.27,12.39,11.1
1533 車王電,201303,0.38,1.94,1.05,49.97,33.53,4.02,9.81,7.22
1535 中宇,201303,1.52,6.15,2.87,52.51,10.9,6.44,8.04,6.5
1536 和大,201303,0.65,4.87,1.97,63.85,26.35,12.77,14.01,12.49
1537 廣隆,201303,2.24,7.09,5.07,27,22.16,14.97,17.11,13.67
1538 正峰,201303,-0.53,-6.88,-3.17,52.7,13.34,-39.6,-53.52,-53.52
1539 巨庭,201303,0.45,4.75,2.06,59.37,10.75,4.35,8.27,6.71
1540 喬福,201303,0.41,2.52,1.99,19.57,22.48,9.62,20.54,17.29
1541 錩泰,201303,-0.08,-0.71,-0.34,41.54,14.88,-3.54,-0.8,-1.7
1558 伸興,201303,2.76,5.41,3.81,27.81,22.68,12.53,15.89,12.86
1560 中砂,201303,0.83,3.28,2.51,23.09,26.06,14.36,14.48,11.97
